cross_validation_fold,growth_run_id,method,true_rq_nm,generated_rq_nm,rq_absolute_error_nm,condition_descriptor_mae_z,generated_pairwise_l1,real_pairwise_l1,diversity_ratio,unit_l1,unit_rmse,ssim,gradient_mae,physical_ra_error_nm,physical_robust_height_range_error_nm,physical_histogram_wasserstein_nm,reconstructed_rq_nm,rq_architectural_consistency_error_nm,normalized_psd_log_distance,psd_low_band_error,psd_mid_band_error,psd_high_band_error,psd_slope_error,correlation_length_abs_error_nm,correlation_length_relative_error,anisotropy_error,skewness_error,kurtosis_error,height_quantile_error,ra_rq_error,physical_psd_distance,physical_correlation_length_error_nm,ssim_penalty,composite_score,nearest_training_l1,max_training_ssim,exact_training_pixel_equality,generated_mean_gradient,real_mean_gradient,mean_gradient_relative_error,generated_rms_gradient,real_rms_gradient,rms_gradient_relative_error,generated_laplacian_rms,real_laplacian_rms,laplacian_rms_relative_error,generated_edge_energy_ratio,real_edge_energy_ratio,edge_energy_ratio_relative_error,generated_wrap_discontinuity_ratio,real_wrap_discontinuity_ratio,wrap_discontinuity_ratio_relative_error,generated_high_psd_fraction,real_high_psd_fraction,high_psd_fraction_relative_error,generated_robust_height_range,real_robust_height_range,robust_height_range_relative_error,generated_skewness,real_skewness,skewness_relative_error,generated_kurtosis,real_kurtosis,kurtosis_relative_error,sharpness_ratio,afm_texture_gate_pass
0,6022,M10_dense_island_spectral_pareto,1.649340271949768,1.313524054588533,0.3358162173612351,1.446962833404541,1.1189721822738647,1.0623729228973389,1.0532762631244088,1.1259825229644775,1.4210221767425537,0.012569301688366728,36.34460770018889,0.03561745143755246,0.7464690303802488,0.2503768078158103,1.6493386190760124,1.652873755642048e-06,0.4240915624169392,5.797208003899268e-05,1.0688678667287966e-05,6.866075870617897e-05,0.41647428956635046,0.0,0.0,0.33333333333333326,1.1263970136994477,1.7133508285140753,0.29394193394907847,0.021594968331003495,0.4240915624169392,0.0,0.9874306983116333,7.5389833686863845,1.0440069437026978,0.04145108735208825,False,0.32278966903686523,0.24846479296684265,0.29913644980655735,0.3811968117952347,0.3801034390926361,0.002876513575379945,0.44495023787021637,0.490948349237442,0.09369236384778869,1.0361756086349487,0.8516786694526672,0.21662740397249677,0.9978747963905334,7.2657470703125,0.8626603999927547,0.00011460287003125335,8.089577829853443e-05,0.4166730630655121,4.7062032151222235,4.577738639116287,0.028062890027888518,0.1810167103446887,-0.9569965329107071,1.1891508528187933,3.2149543485741963,5.000245974106004,0.35704076054998496,1.2991364498065574,True
0,6022,M16b_baseline_dense_microisland_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.6510652303695679,1.1306607723236084,1.0623729228973389,1.0642786049554356,1.133780598640442,1.4160796403884888,0.013824386058282324,35.305301021054206,0.073170691812948,0.04730206251144331,0.29524504594737966,1.6493386495683084,1.62238145962057e-06,0.8430102007076711,0.00094264336275518,0.0008998504000352623,4.2792962719724584e-05,0.4098232774094326,0.0,0.0,0.16666666666666652,1.1075478377927837,2.282907953446334,0.29619314323578566,0.04436361186048754,0.8430102007076711,0.0,0.9861756139417177,7.457009797302683,1.0525914430618286,0.041468742037529364,False,0.30645035207271576,0.24846479296684265,0.23337535436503962,0.35941311717033386,0.3801034390926361,0.05443339837096225,0.29428327083587646,0.490948349237442,0.4005820137842047,1.009706825017929,0.8516786694526672,0.18554903537365672,1.013894110918045,7.2657470703125,0.8604556281540864,1.71231587433376e-05,8.089577829853443e-05,0.788330626103293,4.397224881649018,4.577738639116287,0.039432954062688964,0.1960432454298814,-0.9569965329107071,1.2048526182572632,2.6715313799286973,5.000245974106004,0.4657200078229469,1.2333753543650396,True
0,6022,M17a_fixed_sparse_peak_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.511311650276184,1.1272926330566406,1.0623729228973389,1.0611082123424707,1.1350878477096558,1.4190455675125122,0.01254628199787011,36.00987690588644,0.06616857854357949,0.0935177564620977,0.28926090105184177,1.6493386249821662,1.6469676018537882e-06,0.4928503557877914,0.0004415808704000268,0.0004589240015037457,1.7343131104015583e-05,0.2034489074396597,0.0,0.0,0.16666666666666652,1.1198313906981416,2.122872067916694,0.2905936830065081,0.040118209261648996,0.4928503557877914,0.0,0.9874537180021299,7.4921649121648155,1.0509364604949951,0.04029759409283821,False,0.3167997747659683,0.24846479296684265,0.27502883198524186,0.37082573771476746,0.3801034390926361,0.02440835947187407,0.3811015337705612,0.490948349237442,0.22374413853819589,1.0144932270050049,0.8516786694526672,0.19116899764199882,0.9909085035324097,7.2657470703125,0.8636191854818047,7.499912784035207e-05,8.089577829853443e-05,0.07289194296915731,4.48961709022522,4.577738639116287,0.019250017495118163,0.20169081795896576,-0.9569965329107071,1.2107539693435698,2.8071641904807203,5.000245974106004,0.4385947801332685,1.2750288319852419,True
0,6022,M17b_topology_sparse_peak_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.511233925819397,1.1273744702339172,1.0623729228973389,1.0611852447813748,1.1351159811019897,1.4191312789916992,0.012484518888580473,36.01209640220975,0.06625879350021391,0.09201783180236944,0.28909696345129543,1.649338739117086,1.5328326821162364e-06,0.49334322224740673,0.00044173332792030173,0.0004591994882921609,1.7466160372037805e-05,0.20414403247368584,0.0,0.0,0.16666666666666652,1.118726085182528,2.1233203769473787,0.2902483754924366,0.0401729064089964,0.49334322224740673,0.0,0.9875154811114195,7.49271105155118,1.0509146451950073,0.04029601573935997,False,0.316781148314476,0.24846479296684265,0.2749538658249666,0.37079836428165436,0.3801034390926361,0.02448037521889925,0.38114191591739655,0.490948349237442,0.22366188518731273,1.0151006579399109,0.8516786694526672,0.19188221373709768,0.9912088513374329,7.2657470703125,0.8635778479837999,7.514953204059129e-05,8.089577829853443e-05,0.07103270873712875,4.488867360949516,4.577738639116287,0.01941379470801917,0.20053837420158546,-0.9569965329107071,1.2095497395289903,2.807170447869626,5.000245974106004,0.4385935287170506,1.2749538658249666,True
0,6022,M17c_topology_sparse_finetexture_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.5170056819915771,1.1273051500320435,1.0623729228973389,1.0611199944343641,1.1356849670410156,1.419657588005066,0.012473937167395263,36.922685833968806,0.06574398990625863,0.14627800703048877,0.2882144270543149,1.6493386465364,1.625413368122608e-06,0.5103316189732978,0.00013212101988013814,2.9927429200464787e-05,0.00010219359067963711,0.51096334815671,7.874015748031496,0.14285714285714285,0.16666666666666652,1.1119441667569943,2.1265186418947475,0.2879740061823811,0.03986077988385284,0.5103316189732978,7.874015748031496,0.9875260628326047,7.715299645410655,1.0519959926605225,0.03965877312789002,False,0.3303539454936981,0.24846479296684265,0.32958050735897815,0.3847384750843048,0.3801034390926361,0.012194143790788179,0.4659296125173569,0.490948349237442,0.05096001801196626,1.0184820890426636,0.8516786694526672,0.1958525269832023,0.9843922257423401,7.2657470703125,0.8645160344537012,0.00015626198081436054,8.089577829853443e-05,0.9316456816534703,4.513982120752335,4.577738639116287,0.013927513864413255,0.1937150660653067,-0.9569965329107071,1.2024198201388692,2.806596775215458,5.000245974106004,0.4387082576038171,1.3295805073589781,True
0,6022,M17d_multiscale_texture_no_peak_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.5547699928283691,1.12782883644104,1.0623729228973389,1.061612934717112,1.1357327699661255,1.4193408489227295,0.01255294914593074,37.30946870382189,0.06624552150894303,0.142884490489962,0.28677355505700297,1.6493387345897326,1.537360035497315e-06,0.5897637321180085,0.0003793482967678896,0.0002469348088621579,0.0001324134879060532,0.5819435542956688,7.874015748031496,0.14285714285714285,0.16666666666666652,1.0999995337117785,2.1551778698729187,0.2862122735487564,0.040164859785580154,0.5897637321180085,7.874015748031496,0.9874470508540693,7.816213692231787,1.052223563194275,0.03988989436392552,False,0.33567477762699127,0.24846479296684265,0.3509953407032066,0.3900950849056244,0.3801034390926361,0.026286649331139538,0.4952915608882904,0.490948349237442,0.008846575525906984,1.0196743607521057,0.8516786694526672,0.19725243489707356,0.9848927855491638,7.2657470703125,0.8644471413581971,0.00018358668991099423,8.089577829853443e-05,1.2694223823830895,4.515846735239029,4.577738639116287,0.01352019168337808,0.1806711763290953,-0.9569965329107071,1.1887897919332933,2.795599650297741,5.000245974106004,0.4409075743923643,1.3509953407032065,True
0,6022,M17e_broad_sparse_peak_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.5786833763122559,1.1250123977661133,1.0623729228973389,1.0589618518306565,1.1429901123046875,1.4367765188217163,0.006086705787963071,34.54590296855544,0.08235458549160057,0.06298728704452472,0.36208631508258393,1.6493386802606262,1.5916891418221724e-06,0.562413209622933,0.0006383765236973593,0.0006450929257482134,6.716402050892505e-06,0.17476630363890244,0.0,0.0,0.33333333333333326,1.2726759395143237,2.2559519406414688,0.36219418589557867,0.04993183430110326,0.562413209622933,0.0,0.9939132942120369,7.231625013903509,1.046093225479126,0.040369677785102275,False,0.3133009374141693,0.24846479296684265,0.2609470085203539,0.36693477630615234,0.3801034390926361,0.034644945117885115,0.37382425367832184,0.490948349237442,0.23856704221745806,1.015342891216278,0.8516786694526672,0.19216663236240253,1.0025455355644226,7.2657470703125,0.8620175563692857,7.8121727512626e-05,8.089577829853443e-05,0.03429166322711172,4.499322508573533,4.577738639116287,0.017129883709982207,0.23123101894174897,-0.9569965329107071,1.241621584812287,2.804696057738192,5.000245974106004,0.439088382399099,1.260947008520354,True
0,6022,M17f_broad_sparse_finetexture_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.5198516845703125,1.1259612441062927,1.0623729228973389,1.0598549905013896,1.134927749633789,1.4202560186386108,0.012695209403998587,36.40699361389704,0.06488076762908257,0.09481115818023778,0.2893478739459798,1.649338631531453,1.640418314963199e-06,0.5115075413338713,0.00016848622051102158,0.00023896716875077928,7.048094823979719e-05,0.4222579690369166,0.0,0.0,0.16666666666666652,1.1289689107944476,2.067434296358865,0.2872599090316466,0.03933740531229102,0.5115075413338713,0.0,0.9873047905960014,7.576670450593918,1.0515081882476807,0.03934387660173491,False,0.3226320147514343,0.24846479296684265,0.2985019362259876,0.3766012042760849,0.3801034390926361,0.009213899313596235,0.42679639160633087,0.490948349237442,0.1306694639685706,1.017708420753479,0.8516786694526672,0.19494412300769617,0.9923349022865295,7.2657470703125,0.8634228672312083,0.00012579116623100754,8.089577829853443e-05,0.5549781320700449,4.501450091600419,4.577738639116287,0.016665116453785857,0.21771867474613643,-0.9569965329107071,1.2275020517409239,2.837333932090473,5.000245974106004,0.4325611286357246,1.2985019362259875,True
0,6022,M17g_moderate_broad_topology_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.505581259727478,1.1264045238494873,1.0623729228973389,1.060272244870021,1.135180115699768,1.4201347827911377,0.012513578341224024,36.08258655426613,0.06524297346102426,0.09416763544082762,0.2895503482785361,1.6493385897282817,1.682221486332125e-06,0.5097453857600018,0.00039442078458917784,0.00042455788733013384,3.0137102740970963e-05,0.267228541571606,0.0,0.0,0.16666666666666652,1.1291571063716421,2.0722145276813224,0.2873665515546288,0.039557011737404446,0.5097453857600018,0.0,0.987486421658776,7.511294551480299,1.051059365272522,0.03976409226064408,False,0.317947655916214,0.24846479296684265,0.27964872656482864,0.37191517651081085,0.3801034390926361,0.02154219546492888,0.3906538337469101,0.490948349237442,0.20428730567342335,1.0148046016693115,0.8516786694526672,0.19153459874893597,0.9957768619060516,7.2657470703125,0.8629491431136175,8.688516522010664e-05,8.089577829853443e-05,0.07403831259857875,4.503682563304901,4.577738639116287,0.01617743642648904,0.21495282707646027,-0.9569965329107071,1.2246119183135187,2.8364906136169354,5.000245974106004,0.43272978403345996,1.2796487265648286,True
0,6022,M17h_hierarchical_sparse_island_terrace,1.649340271949768,1.313524054588533,0.3358162173612351,1.4840208292007446,1.1246895790100098,1.0623729228973389,1.058657986070201,1.1352676153182983,1.4218168258666992,0.012702751421507992,36.32614809461404,0.06601364965815382,0.09197843313217291,0.29954073351349164,1.6493386022763292,1.6696734388421675e-06,0.5084664612233606,0.00023192000335947593,0.0002886368073977436,5.671680403850254e-05,0.3754620313071526,7.874015748031496,0.14285714285714285,0.16666666666666652,1.1705221966216586,2.056166532484306,0.3009190708611693,0.04002427499454675,0.5084664612233606,7.874015748031496,0.987297248578492,7.597351428491127,1.0499708652496338,0.04039637764439766,False,0.3200949728488922,0.24846479296684265,0.28829106541307253,0.3746502995491028,0.3801034390926361,0.014346461996110288,0.4129602313041687,0.490948349237442,0.15885198117970487,1.0172791481018066,0.8516786694526672,0.19444009177259639,1.0040030479431152,7.2657470703125,0.8618169558853178,0.00011115812860819291,8.089577829853443e-05,0.374090600846679,4.518073419332504,4.577738639116287,0.013033775950848332,0.2771306467850997,-0.9569965329107071,1.289583752139839,2.8757335004254383,5.000245974106004,0.4248815927621257,1.2882910654130726,True
