target,growth_run_id,training_knn_distance,training_density_ood_z,density_sample_weight,residual_self_paced_weight,combined_weight_not_selected,weight_computation_used_held_target
Rq_nm,6022,1.4036159329919178,1.805195377319263,0.40551488892236875,0.25,0.10137872223059219,False
Rq_nm,6028,1.4102733000904024,1.8327651489058734,0.39996326465544757,1.0,0.39996326465544757,False
Rq_nm,6029,1.88372092355109,3.793426570146382,0.25,1.0,0.25,False
Rq_nm,6033,0.9100158464840264,-0.23892228043334626,1.0,0.35083645651742895,0.35083645651742895,False
Rq_nm,6047,0.9173682971815073,-0.20847399910340422,1.0,1.0,1.0,False
Rq_nm,6048,1.2230653865917178,1.057491780618961,0.5893436079446102,1.0,0.5893436079446102,False
Rq_nm,6056,0.9841528145844194,0.06809688291080833,0.9665246836411175,1.0,0.9665246836411175,False
Rq_nm,6057,0.9677092272164359,0.0,1.0,1.0,1.0,False
Rq_nm,6062,1.1407293828544327,0.7165184224113372,0.6988918909153906,1.0,0.6988918909153906,False
Rq_nm,6063,2.5054027457427193,6.3679617555761165,0.25,0.25,0.0625,False
Rq_nm,6070,1.4359056915462443,1.938915097857464,0.37928872788679546,1.0,0.37928872788679546,False
Rq_nm,6072,0.9523656067124696,-0.06354165338160067,1.0,0.5534381703353126,0.5534381703353126,False
Rq_nm,6078,0.7376644572332806,-0.952671179057193,1.0,1.0,1.0,False
Rq_nm,6080,0.804837635180752,-0.6744907594765952,1.0,0.44771595598533526,0.44771595598533526,False
Rq_nm,6081,0.8895118707037316,-0.3238342164160853,1.0,0.8321457449328576,0.8321457449328576,False
Rq_nm,6082,1.0026353503539691,0.14463754560369624,0.9302343151437784,1.0,0.9302343151437784,False
Rq_nm,6084,0.7991162684033938,-0.6981843267504942,1.0,0.8207058966325707,0.8207058966325707,False
Rq_nm,6085,0.8118454594964181,-0.6454696595666947,1.0,1.0,1.0,False
Rq_nm,6090,1.0048534781643443,0.15382335076920575,0.925971636083365,0.2767241379868519,0.25623870279544414,False
Rq_nm,6094,0.864924687754891,-0.42565570347393966,1.0,1.0,1.0,False
Rq_nm,6095,0.8666164782863958,-0.4186495886186248,1.0,0.25,0.25,False
Rq_nm,6099,0.7339988769865541,-0.9678512357732547,1.0,0.25,0.25,False
Rq_nm,6101,10.947661376996074,41.329402021011454,0.25,0.25,0.0625,False
FSMI_nm,6022,1.4036159329919178,1.805195377319263,0.40551488892236875,0.25,0.10137872223059219,False
FSMI_nm,6028,1.4102733000904024,1.8327651489058734,0.39996326465544757,1.0,0.39996326465544757,False
FSMI_nm,6029,1.88372092355109,3.793426570146382,0.25,0.9370410497245241,0.23426026243113102,False
FSMI_nm,6033,0.9100158464840264,-0.23892228043334626,1.0,0.47345394689121056,0.47345394689121056,False
FSMI_nm,6047,0.9173682971815073,-0.20847399910340422,1.0,1.0,1.0,False
FSMI_nm,6048,1.2230653865917178,1.057491780618961,0.5893436079446102,1.0,0.5893436079446102,False
FSMI_nm,6056,0.9841528145844194,0.06809688291080833,0.9665246836411175,1.0,0.9665246836411175,False
FSMI_nm,6057,0.9677092272164359,0.0,1.0,1.0,1.0,False
FSMI_nm,6062,1.1407293828544327,0.7165184224113372,0.6988918909153906,1.0,0.6988918909153906,False
FSMI_nm,6063,2.5054027457427193,6.3679617555761165,0.25,0.25,0.0625,False
FSMI_nm,6070,1.4359056915462443,1.938915097857464,0.37928872788679546,1.0,0.37928872788679546,False
FSMI_nm,6072,0.9523656067124696,-0.06354165338160067,1.0,1.0,1.0,False
FSMI_nm,6078,0.7376644572332806,-0.952671179057193,1.0,0.8314790294305736,0.8314790294305736,False
FSMI_nm,6080,0.804837635180752,-0.6744907594765952,1.0,0.41338443310400286,0.41338443310400286,False
FSMI_nm,6081,0.8895118707037316,-0.3238342164160853,1.0,1.0,1.0,False
FSMI_nm,6082,1.0026353503539691,0.14463754560369624,0.9302343151437784,1.0,0.9302343151437784,False
FSMI_nm,6084,0.7991162684033938,-0.6981843267504942,1.0,1.0,1.0,False
FSMI_nm,6085,0.8118454594964181,-0.6454696595666947,1.0,0.8677730661340243,0.8677730661340243,False
FSMI_nm,6090,1.0048534781643443,0.15382335076920575,0.925971636083365,0.25,0.23149290902084124,False
FSMI_nm,6094,0.864924687754891,-0.42565570347393966,1.0,1.0,1.0,False
FSMI_nm,6095,0.8666164782863958,-0.4186495886186248,1.0,0.25,0.25,False
FSMI_nm,6099,0.7339988769865541,-0.9678512357732547,1.0,0.25,0.25,False
FSMI_nm,6101,10.947661376996074,41.329402021011454,0.25,0.25,0.0625,False
